Display on Live,Display in Mobile App,Title,Date,Start Time Hour,Start Time Minutes,End Time Hour,End Time Minutes,Session Type,Speaker UUID,Session Summary,Survey Questions,Room,Video URL,Download Label,Download URL,Sponsor UUID,Slides Tactic ID,Audio URL,Enable Ratings,Enable Notes,Custom CSS Class,Filter Categories,Liferay 7?
true,true,Environment Setup for Workshops,2015-11-16,10,20,10,50,blank,,,,Michigan,,,,,,,true,true,,blank,false
true,true,Liferay Connected Services: Make Your Life(ray) Easier with LCS,2015-11-17,15,40,16,10,blank,8a65f108-14b1-43a2-90ed-2c7cf69975b1,"Need to fine tune your portal, apply patches, have it always updated and always offer the best experience to your users? Don’t panic, Liferay Connected Services is your new best friend.",,Denver,,,/documents/14/64021955/naslcs+-+Juan+Fernandez+%281%29.pdf/7bda7f04-8aba-4e05-8f84-2cdc50839a7f,,64283835,/documents/47511614/63887359/Liferay+Connected+Services+Make+Your+Life%28ray%29%20Easier+With+LCS_Juan+Fernandez.mp3/e4495d33-7a88-460c-acf7-92e21d28a3d2,true,true,,Liferay in Production,false
true,true,Delivering the Best Mobile Experience with Mobile Development Application Platform (MDAP),2015-11-17,14,20,14,50,blank,06022e30-ffc8-420c-8498-6db5c6ec9f87,"Since the explosion in mobile usage, users demand more and more products and services ready to be used from their mobile devices. Offering a responsive website is sometimes not enough: they want an optimized experience in the form of native apps.

On this presentation we will present the full range of features and capabilities offered by Liferay to help deliver the best mobile experience: ranging from directly consuming your portal contents with the Mobile SDK to quickly build full native apps using Liferay Screens. We'll also present all new features we have been working on: OAuth support, real-time device notifications using Liferay Push of offline mode support.",,Lincolnshire,,,/documents/14/64021955/slides-jose-navarro+%281%29.pdf/20cd6035-bafe-4970-8124-0e1504b19492,,64283729,/documents/47511614/63887359/Delivering+the+Best+Mobile+Experience+With+Mobile+Development+Application+Platform+%28MDAP%29_Jose+Manuel+Navarro.mp3/b5399afb-c7f1-49cc-b99a-a60874f4fff0,true,true,,Mobile Technologies & Development,false
true,true,Infor and Accenture; Taking Liferay to the Next Level,2015-11-17,9,40,10,10,blank,08f81836-15c1-4363-ae27-9fc1b3f566c0,"Infor Rhythm™ is redefining the space for customer engagement by delivering a new cloud based platform for Infor customers to engage with their customers. User experience is in focus to deliver a groundbreaking Infor experience, which together with suites of best in class products that work seamlessly together offers industry specific engagements. All made possible by extending the Liferay platform. Join this session with Infor and Accenture to hear more about the journey this involved - building out a modern SPA based web application designed for mobile use from day one. Infor Rhythm™ is a multi tenant cloud service, preconfigured, still fully customer branded and integrated with customer’s ERP.  Read more about Infor Rhythm™ at http://www.infor.com/solutions/rhythm",,Lincolnshire,,,/documents/14/64021955/Infor_+Accenture_Taking_Liferay_Next_Level+Final+%281%29.pdf/9d5e5cda-b0fc-40d1-b369-3f5728757b7b,,63960811,/documents/47511614/63887359/Infor+and+Accenture+Taking+Liferay+to+the+Next+Level_Thim+Otskov+%26+Richard+Gronitsky.mp3/da682c0c-ab06-4f9e-85f7-1172e95dd0f9,true,true,,Case Study,false
true,true,Gaining Greater Insight With a Connected Customer Engagement Platform,2015-11-16,14,50,15,20,blank,331dbdc2-a975-456c-a0c5-e8bf3df3a85e,"As companies place a heavier emphasis on the digital customer experience, they are realizing that this means rethinking how they can be engaged with their customers too. Companies have more technologies at their disposal (CRM, Marketing Automation, Issue Tracking Systems), but data sitting in isolated applications doesn’t mean that they understand their customers. Building a connected Customer Engagement Platform can help to provide a deeper knowledge of your customers and even provide actionable insight. This session will cover how we’re trying to become more engaged by building a Customer Engagement Platform called Dossiera, and digs specifically into how we’ve integrated with Salesforce to reuse the data in a more meaningful way.",,Lincolnshire,,,/documents/14/64021955/Brian+Kim++%281%29.pdf/b7b17daa-bbf2-480c-b68c-1e5d3733bf0a,,64031592,/documents/47511614/63887359/Gaining+Greater+Insight+With+a+Connected+Customer+Engagement+Platform_Brian+Kim.MP3/35a2200a-9c13-4b60-9e48-8ff9517f38dc,true,true,,Digital Marketing & Web Experiences,false
true,true,A Tour Through the Newest and Most Useful Extension Points in Liferay 7,2015-11-16,14,50,15,20,blank,968d5828-643f-4af6-bed1-6d2a8fe06aef,"Liferay 7 is by far the most customisable Liferay release ever. Furthermore, customisations are now easier to develop and maintain than before. This session will explain how Liferay uses OSGi modular approach to build dynamic extension points and how third party developers can use them to extend and adapt Liferay in a variety of ways. We will visit some of the most important extension points with real-life examples: adding Flickr images in a blog entry, customising Editor toolbars and plugins, how to include your own code in any JSP file in a maintainable way, and much more! Developers have never been this powerful.",,Denver,,,/documents/14/64021955/NAS2015+-+A+tour+through+Liferay%27s+new+extension+points+-+Sergio+Gonzalez+%281%29.pdf/d1b73dc3-cfe1-4bd0-914f-0eb668809052,,64031668,/documents/47511614/63887359/A+Tour+Through+the+Newest+and+Most+Useful+Extension+Points+in+Liferay+7_Sergio+Gonzalez.mp3/a4cef5de-7645-40b6-b948-beacb471df13,true,true,,Customizing Liferay,true
true,true,Search in Liferay 7,2015-11-17,13,00,13,30,blank,ead202db-00d4-4d2b-8eef-6706c5637896,"This session will tell three stories about what has changed in search for Liferay 7: (1) a story about how Liferay as a platform benefits from the changes, (2) a story about how developers as consumers of that platform benefit from the changes, and (3) a story about where we might all go from here.﻿",,Lincolnshire,,,/documents/14/64021955/Liferay+7+Search+-+Minhchau+Dang+%281%29.pdf/4b81f34c-1020-42dd-a51e-cb049d8401eb,,63960952,/documents/47511614/63887359/Search+in+Liferay+7_Minhchau+Dang.mp3/ad4c91ac-0fa2-4d5f-ac87-ae49faf16334,true,true,,Liferay New Products & Features,true
true,true,"Exploring New Tools in Liferay 7: Liferay IDE, Gradle & Improved Tooling",2015-11-16,17,50,18,20,blank,b94767e8-9c6d-4773-8cf0-65b7943e7b05,"Just like the portal, the dev tooling story for 7.0 will focus on modularization.  Instead of building more tools that can only be used within the classic Plugins SDK or Liferay IDE, the new 7.0 tools are being built with modularity in mind.  We want to give Liferay developers more freedom to build modules for Liferay 7.0 using their own familar build toolchains.  In this talk, many new tools for 7.0 will be discussed including Liferay IDE 3.0, the BLADE project, gradle, maven plugins for building modules, as well as a migration tool designed specifically for migration 6.2 plugins to 7.0 plugins and modules.",,Denver,,,/documents/14/64021955/2015+NAS+Liferay+IDE+-+Greg+Amerson.pdf/8b039058-6342-4a76-8a2c-81076c3a9f99,,64283489,/documents/47511614/63887359/Exploring+New+Tools+in+Liferay+7+Liferay+IDE%2C%20Gradle+%26+Improved+Tooling_Greg+Amerson.mp3/aed27bf2-ee07-4dff-b6bc-06a8f502c197,true,true,,Liferay New Products & Features,true
true,true,Introducing Launchpad,2015-11-16,16,30,17,00,blank,d6502b39-dd3e-4c9c-8c47-70cc6ce39af4,"When building a high scalable application there are many things you need to care about. Things like performance bottlenecks, database sharding and replication, authentication, security, and more.

The Launchpad Project is a new Liferay initiative to help you in most of those challenges. Focus on creating amazing user experiences. We'll take care of the rest.",,Michigan,,,/documents/14/64021955/Launchpad+project+Eduardo+Lundgren.pdf/cce02741-725b-4554-9621-54714d817cdd,,64287176,/documents/47511614/63887359/Introducing+Launchpad_Eduardo+Lundgren.mp3/e43d7d29-d77c-4084-a1b1-be1ff3e7725b,true,true,,Liferay New Products & Features,false
true,true,Access at Your Fingertips: Implementing Web-Based Information to Effectively and Efficiently Serve Customers,2015-11-16,15,50,16,20,blank,80e3093e-5136-4a95-9da1-84b661f982cc,,,Denver,,,/documents/14/64021955/Access+at+Your+Fingertips_Final.pdf/b67afd10-b281-4bce-b284-e6c988906b8d,,63960416,/documents/47511614/63887359/Access+at+your+Fingertips+Implementing+Web-based+Information+to+Effectively+and+Efficiently+Serve+Customers_Ginger+Strain.mp3/6886161d-09a7-431d-8617-aa05dc844998,true,true,,Case Study,false
true,true,Early Registration & Check-in,2015-11-15,13,00,17,30,blank,,,,Foyer,,,,,,,true,true,,,false
true,true,"Breakfast, Exhibits Open",2015-11-17,7,45,9,00,blank,,,,Exhibit Hall,,,,,,,true,true,,blank,false
true,true,"Breakfast, Exhibits Open",2015-11-16,7,30,9,00,blank,,,,Exhibit Hall,,,,,,,true,true,,blank,false
true,true,How to Migrate 700 Sharepoint Sites to Liferay,2015-11-17,13,40,14,10,blank,b8833722-19b5-4dae-9a9a-db1d351dd303,"What happens if a company decides to move away from Microsoft Sharepoint to reimplement their collaboration platform in Liferay? Although there are many similar concepts between Sharepoint and Liferay, there is no magical one-to-one mapping of features and (most importantly) the existing data.

We found out the hard way. We migrated 700 Sharepoint sites with millions of documents in a generic way using a custom written migration tool, embedded as a portlet in Liferay. In this talk, we'll present the architecture of the migration tool and the benefits and pitfalls we encountered in the process.

The following questions are being answered:
* What export/import approach was used and why?
* What data was migrated and, more importantly, what data was consciously NOT migrated?
* How to migrate terabytes of documents?
* How long does it take to migrate a Sharepoint site?
* How about the DEV - TEST - ACC - PROD setup in this whole story?",,Lincolnshire,,,/documents/14/64021955/Peter+Mesotten+-+LRNAS2015.pdf/5c3e4be6-d2b9-4546-b80e-43ef89c32a17,,64286620,/documents/47511614/63887359/How+to+Migrate+700+Sharepoint+Sites+to+Liferay_Peter+Mesotten.mp3/ea8869d2-7761-480f-84ed-ec9f54c4a3aa,true,true,,Case Study,false
true,true,Building a Patient Engagement Portal with Liferay,2015-11-17,15,40,16,10,blank,ac7648bb-c07f-4f05-a4a0-16343136aba9,Healthcare providers are facing multiple challenges to deliver the highest quality of care and satisfy new regulatory requirements. This session will focus on using Liferay to develop and deploy a Patient Engagement portal solution which empowers patients to have a closer relationship with healthcare providers and better manage their own health. A live demo of Dunn Solutions patient engagement portal framework will be shown as well as a discussion of the business case and drivers for this project.,,Indiana,,,/documents/14/64021955/Building+a+Patient+Engagement+Portal+with+Liferay+-+Dunn+Solutions.pdf/45ccc10f-008a-47f0-8b47-e77d9ddfc182,,63960451,,true,true,,Case Study,false
true,true,Become a Performance Superstar with Dynatrace and Liferay,2015-11-17,15,00,15,30,blank,49f2d865-d166-454b-9a9a-229e31dbe6ff,"In this talk, you will learn how to leverage Dynatrace's monitoring capabilities to proactively improve your portal's performance.",,Denver,,,/documents/14/64021955/Liferay%2BDynatrace.pdf/e86367dd-9be8-414c-8d76-42e7b338155c,,63960894,/documents/47511614/63887359/Become+a+Performance+Superstar+With+Dynatrace+and+Liferay_Igor+Arouca+%26+Brian+Wilson.mp3/eb47f5d1-b19a-42b5-9e56-1abf01181445,true,true,,Liferay in Production,false
true,true,Lessons About Responsive Theme,2015-11-17,15,40,16,10,blank,f598d5b0-a271-4f8a-933f-b873605f9b1b,"With so many types of web browsing devices available, how do you ensure your website is both beautiful and usable? In this session we will examine some best practices for making responsive themes that get the most out of Liferay on all devices. We will examine a case study of a ""device-agnostic"" Liferay instance, and learn about useful tools for testing the responsiveness of your theme.",,Lincolnshire,,,/documents/14/64021955/Lessons+on+Responsive+Themes+-+Robert+Frampton+%281%29.pdf/d0a16e61-df84-44c9-9d00-704e5d31c935,,63960851,/documents/47511614/63887359/Lessons+About+Responsive+Themes_Rob+Frampton.mp3/279632a4-7f3d-4e06-9027-3cfa2a8eee81,true,true,,UI & UX,false
true,true,Closing Keynote,2015-11-17,16,20,16,35,blank,cb67daa0-1c61-4827-a012-63e5d0e579b7,,,Chicago Ballroom (E-H),oxqaRLBdS98,,/documents/14/64021955/Bryan+Cheung+2015+NAS+Closing.pdf/c7d7dfa3-ad02-4c92-b907-c08a41258535,,64032044,,true,true,,blank,false
true,true,Universal Peace - The Theme to End All .wars,2015-11-17,15,00,15,30,blank,4974455b-2764-4f08-b94f-85bbd2653796,"Your website is diverse. Not only do you have your main site, but more than likely, you have microsites and landing pages that are unique from your main site. This is definitely the case for liferay.com, and the solution we have come up with is what we like to call the Universal Theme. This session will walk through the configurable and reusable theme we have created to help cut down on the number of themes we need to deploy and to speed up the amount of time it takes to develop unique pages. It will cover the reusable theme, templates, javascript, and css that the Webteam has found useful in developing microsites and landing pages on liferay.com.",,Lincolnshire,,,/documents/14/64021955/Universal+Peace-+The+Theme+to+End+All+.wars++Upload+%281%29.pdf/b24741cc-02a0-43e2-9873-8acf4bf246d9,,64286772,/documents/47511614/63887359/Universal+Peace+-+The+Theme+to+End+All+.wars_Ryan+Schuhler.mp3/8a8cc239-9234-417f-93a4-d4ce06fbb155,true,true,,Customizing Liferay,false
true,true,Building an Awesome UX with Liferay's Single Page Applications,2015-11-17,13,40,14,10,blank,d6502b39-dd3e-4c9c-8c47-70cc6ce39af4,"Even modest improvements in latency can have measurable impact on a website usage. As such, sites should have aggressive goals for both actual and user perceived latency. The most obvious metric is load time, also websites often optimize and minify resources, however, even with cached resources the browser still has to re-parse and execute the CSS and JS on every page load, it still has to lay out the HTML and redraw the UI. This slows down the actual navigation but can also add perceived slowness and often introduces a white flash. In order to improve actual and perceived latencies many sites are moving to the Single Page Application (SPA) model. These days the approach is widely employed by the likes of Facebook, Twitter, GitHub, and Flickr. These examples all feel kind of app-y. Sites with more traditional layouts can still reap the benefits. Some other folks like Medium.com is technologically a single page application but it is intended to feel like a traditional website. This talk is going to teach you how to use a hybrid rendering model in an attempt to get the best out of both worlds.",,Denver,,,/documents/14/64021955/Single+Page+Applications+-+Eduardo+Lundgren.pdf/f0e7974e-1a1a-447c-a85f-2204c989683c,,64287138,/documents/47511614/63887359/Building+an+Awesome+UX+With+Liferay%27s+Single+Page+Applications_Eduardo+Lundgren.mp3/905ed00e-013d-4e88-8db0-f7e2eca51458,true,true,,Developing with Liferay,true
true,true,Don't be Miserable - Make It Measurable,2015-11-17,9,00,9,30,blank,8fb67810-b5cf-4ad8-8678-0247ada97f76,"Web analytics is hard, but with a little attention and curiosity, big wins can be made for your company. Liferay is starting to learn these lessons. We are creating roles that heavily emphasize data analysis to drive decision making. We are asking more questions and allowing ourselves room to fail. In this session, Brett will be going over how Liferay is changing the conversation about data by adapting new tools, following best practices, and developing a strong curiosity to explore, and discover better ways of running our business.",,Lincolnshire,,,/documents/14/64021955/Brett_Kobold_Dont_Be_Miserable_Final_PDF.pdf/f791e9a1-29d3-40e4-ad91-ff7d58053cc1,,64031550,/documents/47511614/63887359/Don%E2%80%99t+Be+Miserable+-+Make+It+Measurable_Brett+Kobold+.MP3/bd86129d-496d-4935-8c07-4dd0d1b2ebf9,true,true,,Digital Marketing & Web Experiences,false
true,true,"Liferay Community Update: Past, Present and Future",2015-11-17,13,00,13,30,blank,79faaff8-70fb-41bc-839a-caf2ce61fa45,"Liferay has its origin in open source, and has seen a huge increase in usage throughout the world since its humble beginnings in 2001. As Liferay continues to grow and our industry continues to evolve, the worldwide community plays an important role. In this talk, learn what our community has done this year and don't miss some exciting announcements about what's in store for 2016 and beyond!",,Denver,,,/documents/14/64021955/LRNAS+-+2015+-+Community+-+James+Falkner+%281%29.pdf/832553d3-9bce-40aa-b0e6-269dc145c6cc,,64283666,/documents/47511614/63887359/Community+Session_James+Falkner.MP3/379e9a2f-55f2-49fc-a866-0b8a68cac733,true,true,,blank,false
true,true,Expert Exchange,2015-11-17,13,00,15,30,blank,,,,Chicago Ballroom (E-H),,,,,,,true,true,,blank,false
true,true,"Lunch, Exhibits Open, Speed Consulting",2015-11-17,11,50,13,00,blank,,,,Exhibit Hall,,,,,,,true,true,,blank,false
true,true,Product Roadmap,2015-11-17,11,10,11,50,blank,ff32319f-e2aa-48c2-83f4-edef00500790,,,Chicago Ballroom (E-H),,,,,,,true,true,,Liferay New Products & Features,true
true,true,Liferay Pulse Awards,2015-11-17,11,00,11,10,blank,,,,Chicago Ballroom (E-H),,,,,,,true,true,,blank,false
true,true,A Tour Through the New Features and Improvements in Liferay 7,2015-11-17,10,20,11,00,blank,f5f93b21-648e-452a-b269-ddfc15f45a78,,,Chicago Ballroom (E-H),1WTgN9du-3E,,/documents/14/64021955/2015-NAS-Tour-of-new-features-and-improvements-Liferay-7.pdf/7fed3026-fc88-4916-8122-1680849fd202,,63947827,,true,true,,Liferay New Products & Features,true
true,true,The Age of the Customer: Journey Mapping and the Unstoppable Rise of Customer Experience Management,2015-11-17,9,40,10,10,blank,e266747c-2bd0-40bb-8c87-7d852635b205,"Implementing an exceptional Customer Engagement Program has become a top priority for many organizations, yet with a multitude of approaches - and few true experts - there are many barriers to success. That’s where this session comes in. We will detail the five basic components at the heart of a well-designed CEM initiative, and how to jump in and get started. We’ll review how to manage your expectations and goals, and how to respond to the ten challenges reported by CEOs last year. By session's end you’ll understand the importance of the Customer Journey, have broken down a Journey Map, and grasped the relevance of Net Promoter Scores, Moments of Truth, and all sorts of other cool stuff that will put you and your organization on the right path to customer loyalty enlightenment.",,Indiana,,,/documents/14/64021955/NAS_Building+A+Customer+Experience+Dept+-+Henry+Nakamura+%281%29.pdf/f5d58bb7-9537-454e-8e2e-d6c281959aba,,64283607,/documents/47511614/63887359/The+Age+of+the+Customer+Journey+Mapping+and+the+Unstoppable+Rise+of+Customer+Experience+Management_Henry+Nakamura.mp3/3652c2f4-c43d-433b-a968-db1e6f982914,true,true,,Digital Marketing & Web Experiences,false
true,true,Create Content Like a Boss Using AlloyEditor,2015-11-17,9,40,10,10,blank,2ee1c0fc-8b74-448b-8c13-4fd2817f38bb,"In this talk, we will introduce the new AlloyEditor and show how you can leverage its benefits. AlloyEditor is a new WISIWYG editor created by Liferay in order to modernize the way we create Web content. It was built using CKEditor's engine with a completely new, revamped, and intuitive user interface. All the functionality from the CKEditor is still available and can be used in conjunction with AlloyEditor. Join the talk to discover the features of AlloyEditor and view an exclusive live demo!",,Denver,,,,,,,true,true,,Liferay New Products & Features,true
true,true,Why and How Web Engineers Can Effectively Collaborate with Those Who Speak a Different Language,2015-11-17,9,00,9,30,blank,200dafcb-92b8-4b31-8663-9a2f51341ff3,Why & How Web Engineers Can Effectively Collaborate with Those Who Speak a Different Language,,Lincolnshire,,,,,,,true,true,,,false
true,true,The New Forms Experience in Liferay 7,2015-11-17,9,00,9,30,blank,1a79302b-6219-4ec9-8cb6-70610bc108fb,"This session will explore the functionalities of Liferay Forms project. We'll go through the motivations behind the project, its current state and ideas for future releases. At the end we’ll have a demonstration session to see the new Liferay Forms in action.",,Denver,,,/documents/14/64021955/The+New+Forms+Experience+in+Liferay+7-Marcellus+Tavares.pdf/cc610a22-c1dd-4d6b-bf55-d849eb16f08f,,64299060,/documents/47511614/63887359/The+New+Forms+Experience+in+Liferay+7_Marcellus+Tavares.MP3/e5d304bf-155f-45c3-94db-eed2b0986a24,true,true,,Liferay New Products & Features,true
true,true,Learn How Liferay is Being Leveraged to Help Lower the Cost and Improve the Delivery of  Healthcare Across the Country,2015-11-17,9,00,9,30,blank,b30b6924-a1cb-4aac-93e1-7d8fe6dc136e,"Blue Health Intelligence (BHI) is leading the movement to provide greater transparency, delivering extraordinary data-driven revelations about healthcare trends and best practices. Insights gained from BHI’s advanced analytics have extremely valuable, far-reaching applications for Blue Companies, providers, employers, consumers, healthcare companies and healthcare-related professionals alike. Creating the largest and most comprehensive database in the industry, BHI analytics, including leading-edge predictive modeling and risk-stratification tools, are changing lives while managing costs.During this session, learn how BHI has leveraged Liferay into its solution architecture, and see a live demo of Hospital Insights, an amazing analytical tool.",,Indiana,,,/documents/14/64021955/2015+NAS+Slide+Deck-BHI-Youngsoft.pdf/32a44766-2873-4080-b04a-a1f412677d21,,63960370,/documents/47511614/63887359/Learn+How+Liferay+is+Being+Leveraged+to+Help+Lower+the+Cost+and+Improve+the+Delivery+of+%0AHealthcare+Across+the+Country_Peter+Paetsch.mp3/9bd34021-1c8b-46de-bb0c-3e4a0fc464a1,true,true,,Case Study,false
true,true,Registration & Check-in,2015-11-17,7,45,9,00,blank,,,,Foyer,,,,,,,true,true,,blank,false
true,true,After-Party sponsored by CIGNEX Datamatics (by invitation only),2015-11-16,20,00,21,30,blank,,,,Denver,,,,,,,true,true,,blank,false
true,true,"Networking Reception sponsored by Youngsoft, Exhibits Open",2015-11-16,18,30,20,00,blank,,,,Exhibit Hall,,,,,,,true,true,,blank,false
true,true,Workshop 4 (2 Hours): Hands-on With Liferay Digital Experience Tools: Audience Targeting Integration Mechanisms,2015-11-16,15,50,17,50,blank,90531d58-874c-4bec-8cac-9a75024e32b0,"Audience Targeting allows you to segment your audience, target specific content to different user segments, and create campaigns to target content to user segments. It also allows you to track user actions and generate reports that provide insight into the effectiveness of your campaigns.

Upcoming Audience Targeting 2.0 includes new extension capabilities that allows you to integrate these features in your apps. In this workshop we will explain how to consume Audience Targeting API to retrieve information about the existing user segments and campaigns, track your own app events and build custom reports. You'll also learn how to integrate your app in a multi-channel campaign.",,Armitage,,,/documents/14/64021955/integrating+audience+targeting+-+workshop.pdf/e255b162-1fa3-4422-bb7a-ae8b521b075b,,63960824,,true,true,,"Developing with Liferay, Digital Marketing & Web Experiences, Liferay New Products & Features",false
true,true,Workshop 3 (2 hours): Mobile Development for Android Apps,2015-11-16,15,50,17,50,blank,"06022e30-ffc8-420c-8498-6db5c6ec9f87, fd01458d-9865-4c56-bf93-65e8946532b6","In this workshop we'll go step by step through several examples to develop an Android mobile app using Liferay Screens and Mobile SDK.
We'll cover how to prepare the environment, create the project, use our first screenlets and services. We'll end up customizing our app's look and feel and behavior to meet specific requirements of our projects.We'll cover how to prepare the environment, create the project, use our first screenlets and services. We'll end up customizing our app's look and feel and behavior to meet specific requirements of our projects.",,Purdue,,,,,,,true,true,,Mobile Technologies & Development,false
true,true,Knowledge Hub - Breaking Down Silos,2015-11-16,17,50,18,20,blank,62e0d5f5-9c14-4bf5-94d6-3d5b9e3fb795,"Using Knowledge Hub as a working example, Jason will explain how using Liferay technology (currently 6.2), KHub is enabling local and central government and the non-profit sector to share knowledge cross-boundary to improve public service and create social value.

Work socially, work smarter is the tag-line to focus traditional thinking on new ways of working and the benefits that brings to organisations and individuals.

Real examples of cross-boundary working, knowledge sharing and learning will be drawn from the 100,000 users and 450 organisations across 1500 groups (communities) and 11 countries that use Knowledge Hub.",,Michigan,,,/documents/14/64021955/2015+NAS+PFIKS+KHUB+Slide+Deck-Wide+FINAL.pdf/fffe7cfd-3b57-424f-87a5-69d4632cfb0d,,64286580,/documents/47511614/63887359/Knowledge+Hub+-+Breaking+Down+Silos_Paul+Thompson.mp3/6c7d32f4-0df4-4899-ab9f-b72bc3d91835,true,true,,Case Study,false
true,true,The ELK Stack: Unlocking Your Data's Potential,2015-11-16,17,10,17,40,blank,cf189eda-8a61-43c5-98f2-735a6e014b12,"Do you have a complex system architecture? Have you ever scrambled to compile log data from all kinds of sources? The ELK stack (Elasticsearch, Logstash, and Kibana) is great for centralizing all your logs in one place in order to retrieve the data you need efficiently. This session will go over a basic setup of the ELK stack along with a demo of how it could be used in your environment.",,Michigan,,,/documents/14/64021955/ELK+-+Unlocking+Your+Data%27s+Potential+-+NAS+2015.pdf/03310942-cb78-4f60-aa72-e8fda229d8f1,,64283443,/documents/47511614/63887359/The+ELK+Stack+Unlocking+Your+Data%27s+Potential_Eric+Chin.mp3/68e67d3d-01e9-4e53-a829-07fab35c4c61,true,true,,Liferay in Production,true
true,true,Environment Setup for Workshops,2015-11-16,15,50,16,20,blank,,,,Michigan,,,,,,,true,true,,,false
